ID,Name,Disciplines,when_added
ee7af0ca-408e-4144-85cc-85e5a9eec2ec,Centre for Surface Chemistry and Catalysis,"['010401', '010403']",0
e590fc98-5179-468d-ab29-20ba6c44394b,Laboratory for Neuro- and Psychophysiology,"['030123', '030623', '050103', '050105', '050106']",0
f9c2cdba-d92a-4b47-ba85-f4a4b4dc9740,Department of Philosophy and moral sciences,"['060302', '060303']",0
37e63935-be43-4a88-8f83-97da12647a08,Department of Plant Biotechnology and Bioinformatics,"['020701', '010610', '010603']",0
6485da95-0569-4fb0-b180-9fb402bc3924,Department of Green Chemistry and Technology,['010405'],0
27cf76ad-4f94-4ca8-b223-a1c42ce23860,"Research Centre for Accounting & Taks, Brussels Campus",['050202'],0
07fce545-f735-4a6b-9b40-02814a257bca,Rehabilitation Research Center,"['030622', '030126', '030402', '030405']",0
0f542fff-9f66-44e3-ae5c-44ee1bcc99fe,Astronomy,['010301'],0
41ec1094-0ea6-4da0-9777-3794a9a05440,Department of Environment,"['010703', '010702']",0
86f8abb8-b972-41fd-9a1e-37758cfd4d06,"Department of Accountancy and Taxation, Antwerp Campus","['050201', '050204', '050205', '050209', '050210']",0
5f3f66cc-4003-4831-9855-1a9db80e799b,Mecha(tro)nic System Dynamics (LMSD),['029999'],0
0053b9e1-b5be-40f7-acc7-16b65e968727,Department of Biomedical molecular biology,['010404'],1
086ed4b6-2916-4b9f-ac7c-05ad67f8c04a,Department of Public Governance and Management,['050206'],1
d2188932-68aa-42c2-ae79-a7a7c087321c,Vriendenkring VUB,[],1
26472cb7-8b0d-49f4-8b25-a5b75d37a4c0,Architecture and Design,"['020101', '060403', '060401', '020102', '060402']",1
888b28bf-420c-459f-815e-634463f39bc0,BioMechanics (BMe),['030603'],1
fb14da26-4419-420c-9289-738f31f22851,Architecture and Design,"['020101', '020102', '060401', '060402', '060403']",1
0b80bc7a-ea97-457b-a25b-366a1779c4ce,"Division of Forest, Nature and Landscape","['010604', '010703', '010799', '040107', '010506', '020202', '029901', '020109', '060403', '060409']",1
85ef251c-ab41-499b-aa27-c6cbe40dc380,Manufacturing Processes and Systems (MaPS),['020305'],1
22358ad3-f0c0-4e35-88ca-7350f696036a,"Production Engineering, Machine Design and Automation (PMA) Section","['020203', '020303', '020308', '020802', '020305', '020399', '059901']",1
960b6e0f-81e7-49eb-9e82-c1a0423d6a51,Division of Soil and Water Management,"['010704', '040103']",1
bb29afde-b1cb-45eb-8ec6-5c3157603644,Department of Neurosciences,"['030123', '030623']",1
ae0fd542-8bb0-4e90-93fa-47d48ca37e41,"Department of Mathematical Modelling, Statistics and Bio-informatics",['010603'],1
60b45899-960b-4b3a-9abf-e795124ac8b5,Dean's Office of the Faculty of Medicine and Health Sciences,[],1
5f4ab818-63ad-42cf-98b1-ec9da03776a5,Department of Pediatrics and medical genetics,['030129'],1
34e6df10-3289-476d-9c7a-f9cd2417f4ae,Department of Molecular biotechnology,"['040104', '020701', '010608', '030120']",1
f8a2c131-1e07-40cf-af96-caa670c0b1c8,Nuclear Medicine & Molecular Imaging,"['030118', '030618', '030504']",1
2af46448-9095-4116-8fcf-6ae6b170cc0d,Mathematics-Physics-Informatics,[],1
60e1f554-1c7c-43cb-a94e-0a2f867bb3be,Research Institute: Centre for Environmental Sciences,"['010601', '010604', '010610', '010703', '029999', '030302', '050201', '050502']",1
60b59184-f95d-4c00-8b81-e382a891db90,Neurosciences,"['020601', '030104', '030123', '030223', '030623']",1
e6cc2bcd-21a4-4266-b8f5-c74bed27478c,Faculty of Sciences,"['010101', '010102', '010103', '010106', '010107', '010201', '010202', '010204', '010205', '010207', '010208', '010209', '010304', '010306', '010311', '010401', '010402', '010403', '010405', '010406', '010601', '010602', '010604', '010605', '010607', '010608', '010609', '010610', '010701', '010703', '020504', '020506', '030102', '030121', '030303', '030604']",1
16331166-453c-433c-b5cc-38653dcecc1c,Department of Pharmacology,['030116'],1
9f8afdc7-d72b-4727-b397-6ae8d70a6d02,Chemistry-Biology-Geology,[],1
eb6b8bd9-cbd1-4155-835f-93816dc4ca58,Faculty of Medicine and Life Sciences,"['030111', '030123', '030132', '030205', '030214', '030302', '030304', '030402']",1
e86a9fc3-da2b-4f6b-8c28-88ec0d42ba69,Biology - Geology,[],1
3d3e3cc9-0f76-41d9-9d03-d6cca2fb3b76,Zoology: Biodiversity and Toxicology,"['010601', '010604', '010605', '010607', '010609', '010701', '030121']",1
b93f2caf-74d2-4440-9370-7f82a398498c,Physiology,"['030104', '030105', '030121', '030123', '030130', '030132', '030304', '030622']",1
e3367e3c-eb17-4cbc-b6c9-4934c66296eb,Neurosciences,[],1
f15720f8-954e-4fbe-9e9a-c3573427e5b5,Biomedical Research Institute,"['030232', '030501', '030604', '030605', '030614', '030621', '030622', '030623']",1
811eccb0-d1b0-4cf3-a4c6-42659bafb66d,Department of Internal medicine,"['030628', '030616', '030699', '030116', '030632', '030228', '030216', '030128', '030403', '030299', '030232', '030199', '030499', '030399', '030132', '039999']",1
5acb50b2-b5ed-4ee1-a5ff-b8ff21075ecc,Physics,[],1
b6fed2a7-3acd-436c-8954-5dd49a3953e1,Department of Civil Engineering,"['010504', '020110', '020199', '020107', '020399', '020103', '029999']",1
4a5a9444-9dd0-4562-9ee3-686d7629c79f,"Department of Economics, Leuven","['050204', '060104', '050201', '050205', '050209', '050210', '050203']",1
747d1a0b-691d-45f8-8e9f-978e4eb2a7ac,Structural Mechanics,"['020110', '020104', '020106', '020105']",1
86f5f452-38e3-4fe1-ba26-686a6fbc5a7a,Research Group Neurophysiology,"['030123', '030623', '050103', '050105', '050106']",1
52e720c3-9f3a-4719-8250-c27aa11188d5,Electronic Circuits and Systems (ECS),"['020299', '020209', '020303', '020207']",1
ab3545a5-11ef-4067-84dd-9cb5ddc3b2ea,Micro- and Nano Systems (MNS),['020204'],1
d20e9e32-9776-41c1-a718-3ab557659231,"Membrane Separations, Adsorption, Catalysis, and Spectroscopy for Sustainable Solutions (cMACS)",['020401'],1
17cf03fe-441e-444b-87f4-62214f211431,Department of Applied analytical and physical chemistry,"['010401', '010502', '010406']",1
4de38627-7da8-4cd6-8b1e-5885812ee67e,Research Group for Musculoskeletal Rehabilitation,"['030126', '030402', '030405', '030626']",1
172ee4c2-42bc-4e59-93f2-91f28a162f2a,Rehabilitation Sciences,"['030126', '030402', '030405', '030622']",1
9dda9586-d8fd-45bc-b3bc-0040511d8f50,Department of Soil Management,['010704'],1
9789e8e7-746a-46b5-8e3e-f8c5b6148e54,Mecha(tro)nic System Dynamics,['029999'],1
fd34a10e-71f6-4db9-acc0-238983fdb834,"Research Centre Accountancy, Leuven",['050201'],1
09df8bc5-bede-4232-8f5c-ece62f241fdc,"Leuven Centre for Aero & Space Science, Technology and Applications",['020301'],1
b4b0de57-795f-464c-8fb7-77ca0e391ae4,Rehabilitation Sciences & Physiotherapy,[],1
78b25da4-0f94-4607-ab73-24faf663611e,"Department of Flow, heat and combustion mechanics","['020309', '020407']",1
