ID,Name,WoS disciplines,Disciplines,Persons,when_added
1ccc679b-ca92-4d60-a23c-16340c360566,Reactie op het opiniestuk &#34;Opvoeden vanuit de apothekerskast? Kanttekeningen bij het psychiatriseren van kinderen&#34; van Stijn Vanheule,[],[],"['3601d182-88f8-49a5-a7d1-230289f2e40e', '6653fe93-8553-4d48-b6c8-08696aef0d15', '50a587d8-3205-46ea-bb8e-0c049edb2353', '45071469-74e5-4289-a3a6-a113c93e723b', '31771e4e-a5bb-4bb8-a726-c75efb477b3b', '29efbce3-7a3c-45fd-8d1e-f99cd4ed371a', 'ecd1186a-6322-4863-8d28-97845d403cf1', 'edc7275f-de88-4863-abfc-e4b6b5a183fc', '6b557f0f-a59b-4732-b4af-bc5b68508cab', 'e5c2f87c-cb08-4c16-a3f9-9066b6be224c', '60dd330b-2cfd-4f48-a349-d818bd771541']",1
402fe29d-f189-4c1d-bcc2-9876eb2040d0,Family Activities in Families Including a Young Child with a Significant Cognitive and Motor Developmental Delay: an Ecocultural Perspective,['000512018500009'],[],"['47d55a9f-77c5-47fe-b4f9-22eb9c685bc7', '69c84a11-6ef9-4c67-8b82-4ea3c5f8d1f1', '9a3d8252-6bdf-4ad8-9f46-0fc3245c0dff', '889672ec-d300-465e-b460-fba159579f3e']",1
2fd79c25-0242-4689-ba41-9067eddaed54,Psychological aspects in evaluation and management of nocturnal enuresis (NE),[],[],"['3601d182-88f8-49a5-a7d1-230289f2e40e', '6e60c7a3-ce5e-4cb0-8a40-bb53ac8220e6']",1
4916f11d-0bc5-4394-a3fe-66548065ff8f,Parenting behaviour among parents of children with autism spectrum disorder,[],[],"['3eb59a5d-2818-48e7-9a86-734d603c157a', '9a3d8252-6bdf-4ad8-9f46-0fc3245c0dff', 'b139f252-48d3-4f02-94e7-297bfa533ba9', '889672ec-d300-465e-b460-fba159579f3e', '0e30f87d-d496-405c-ab0a-c7f437e803f9']",1
book-component:15f59aaf-a045-40e6-aa13-20eb4e82f81c,ERROR,ERROR,ERROR,ERROR,1
cc140941-a248-48ed-b263-7236438769af,ERROR,ERROR,ERROR,ERROR,1
eef31f88-a1d3-4dc4-acf2-d568ab801552,ERROR,ERROR,ERROR,ERROR,1
93d0493a-34c0-4d41-b253-19262d125eda,ADAPTI: Vragenlijst naar adaptieve vaardigheden voor jongvolwassenen met aan autismespectrumstoornis (16-25 jaar),[],[],"['ad107dc1-f7fd-4f5e-90c8-9897de2fa279', '0e30f87d-d496-405c-ab0a-c7f437e803f9', '5a180a36-8e46-4103-b3f2-45e90514521b', '2899c803-3434-4464-9233-ae22d7b02ba0', '3601d182-88f8-49a5-a7d1-230289f2e40e']",1
c74fc761-1e88-4b37-ac00-caa25240ab75,ERROR,ERROR,ERROR,ERROR,1
834d0389-3d88-4c59-b98d-9012c51d5cc6,ERROR,ERROR,ERROR,ERROR,1
